Mfg.,Part no,Desc,Units,Root chord,Tip chord,Span,Sweep,Thickness,Shape,Tip shape,Material,Npoints,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
LOC Precision,FS-94,Fin set,mm,263.53,27.28,123.83,225.58,4.7752,,rounded,Aircraft plywood (LOC),4,263.5250069570601|             0.,263.5250069570601|           111.12500293370006,215.90000569976004|           123.82500326898001,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-96,Fin set,mm,266.7,108.26,174.63,149.07,3.175,,rounded,G10 fiberglass,4,266.70000880110007|             0.,266.70000880110007|           174.62500576262511,139.70000461010002|           174.62500576262511,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-Laser,Fin Set,mm,279.4,100.46,123.83,219.22,3.175,,rounded,Aircraft plywood (LOC),5,279.39999999999998|             0.,247.64999999999998|           123.82499999999999,171.44999999999999|           123.82499999999999,149.22499999999999|            38.099999999999994,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-Laser Fwd,Fin set,mm,101.6,50.8,31.75,69.85,3.175,,rounded,Aircraft plywood (LOC),3,101.60000067056001|             0.,95.25000062865|            31.750000209549999,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,FS-Ultimax,Fin set,mm,152.4,106.99,165.1,6.76,3.175,,rounded,Aircraft plywood (LOC),4,152.39999999999998|             0.,130.17499999999998|           142.875,0.|           165.09999999999999,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest,,Zenith II booster stage,mm,69.850000000000000,24.400000000000000,84.760000000000000,47.93,2.3876,,airfoil,Balsa,4,69.850000461009984| 0.,82.550000544829999| 57.150000377189997,38.823900256237742| 84.762200559430525,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace Speciality Products,FGLD16,G10 Fin Lg Clipped Delta (0.016),mm,38.100000000000000,16.880000000000000,38.100000000000000,20.130000000000000,0.4064,,square,G10 phenolic,4,38.099999999999994| 0.,38.099999999999994| 38.099999999999994,19.049999999999997| 38.099999999999994,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace Speciality Products,FGLD20,G10 Fin Lg Clipped Delta (0.020),mm,38.100000000000000,16.880000000000000,38.100000000000000,20.130000000000000,0.4064,,square,G10 phenolic,4,38.099999999999994| 0.,38.099999999999994| 38.099999999999994,19.049999999999997| 38.099999999999994,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace Speciality Products,FGMD16,G10 Fin Med Clipped Delta (0.016),mm,27.810000000000000,12.800000000000000,27.810000000000000,14.280000000000000,0.4064,,square,G10 phenolic,4,27.812999999999999| 0.,27.812999999999999| 27.812999999999999,13.5382| 27.812999999999999,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace Speciality Products,FGMS16,G10 Fin Med Swept (0.016),mm,34.93,1.39,44.460000000000000,40.780000000000000,0.4064,,square,G10 phenolic,5,34.924999999999997| 0.,39.307686915887842| 19.072749221183802,44.462462616822421| 44.462462616822421,38.099999999999994| 44.462462616822421,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace Speciality Products,FGSS16,G10 Fin Sm Swept (0.016),mm,25.400000000000000,1.6,31.75,27.780000000000000,0.4064,,square,G10 phenolic,4,25.399999999999999| 0.,31.75| 31.75,25.399999999999999| 31.75,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerospace Speciality Products,FGSD16,G10 Fin Sm Clipped Delta (0.016),mm,22.23,9.780000000000000,25.400000000000000,11.800000000000000,0.4064,,square,G10 phenolic,4,22.224999999999998| 0.,22.266588465543553| 25.399999999999999,11.112499999999999| 25.399999999999999,0.| 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
